word;meaning;pos;plural;present;fs;mp;fp;uses;example;arabicScript;pronunciation;usesPronunciation
ghewwet;to yell;Verb;;ghewwet;;;;;;غوت; [sound:darija_743.mp3];
m3ach;when what time;;;;;;;;; معاش  ; [sound:darija_744.mp3];
fu9ach;when what time;;;;;;;;; فوقاش; [sound:darija_745.mp3];
7emmam;public bath;Noun;7emmamat;;;;;;; حمام  ; [sound:darija_746.mp3];
che3ra zeghba;Hair;Noun;ch3er zgheb;;;;;;; شعرة زغبة  ; [sound:darija_747.mp3];
thella thella f rasek;take care take care of yourself;Expression;;;;;;;; تهلا تهلا فراسك  ; [sound:darija_748.mp3];
kiwiya;kiwi;Noun;kiwi;;;;;;; كيوي  ; [sound:darija_749.mp3];
be3D;some;Pronoun;;;;;;;; بعض  ; [sound:darija_750.mp3];
ghalaT khaTa2;mistake false wrong;;;;;;;;;; [sound:darija_202.mp3];
adulte; adult; Noun;;;;;;;; أودولت; [sound:darija_759.mp3];
men be3d mura; after; Preposition/Adverb;;;;;;;;; [sound:darija_922.mp3];
merra khra 3awttani; again; Adverb;;;;;;;;; [sound:darija_923.mp3];
kull ga3 kamlin; all; Determiner;;;;;;;;; [sound:darija_924.mp3];
dima da2iman; always; Adverb;;;;;;;;; [sound:darija_925.mp3];
u w; and; Conjunction;;;;;;;;; [sound:darija_926.mp3];
jawab; answer; Noun;ajwiba;;;;;;;جواب; [sound:darija_773.mp3];
ay 7aja; anything; Pronoun;;;;;;;; أي حاجة; [sound:darija_774.mp3];
b7al; as like; Preposition;;;;;;;; بحال; [sound:darija_775.mp3];
7sen; better; Adjective;;;;;;;; حْسَنْ; [sound:darija_778.mp3];
khubz khebz; bread; Noun;;;;;;;;; [sound:darija_927.mp3];
9Der; can; Modal Verb;;9Der;;;;;; قدير; [sound:darija_783.mp3];
chokola; chocolate; Noun;chokola;;;;;;; شوكولا; [sound:darija_784.mp3];
khtar; chose; Verb;;;;;;;; ختار; [sound:darija_785.mp3];
sinima; cinema; Noun;;;;;;;; سينيما; [sound:darija_786.mp3];
conversation; conversation; Noun;;;;;;;; كونڤرساسيون; [sound:darija_789.mp3];
ghame9 mDellem; dark;Adjective;;;gham9a mdellma;gham9in mdellmin;gham9at mdellmat;;;; [sound:darija_928.mp3];
3ziz; dear;Adjective;;;3ziza;3zaz;3zazat;;; عزيز; [sound:darija_792.mp3];
mekhtalef; different;Adjective;;;mekhtalefa;mekhtalefin;mekhtalefat;;; مختلف; [sound:darija_793.mp3];
lte7t; down downstairs; Adverb;;;;;;;; لتحت; [sound:darija_794.mp3];
chifor; driver; Noun;;;;;;;; شوفور; [sound:darija_795.mp3];
kul wa7ed kulla wa7ed; each; Determiner;;;;;;;;; [sound:darija_929.mp3];
nihaya la fin; end; Noun;;;;;;;;; [sound:darija_930.mp3];
tmette3; enjoy; Verb;;;;;;;; تْمتّع; [sound:darija_800.mp3];
kull kulla; every; Determiner;;;;;;;;; [sound:darija_931.mp3];
mufeddal; favourite; Adjective;;;;;;;; مفضّل; [sound:darija_803.mp3];
7ess; to feel; Verb;;7ess;;;;;; حَسّ; [sound:darija_804.mp3];
film; film; Noun;aflam;;;;;;; فيلم; [sound:darija_805.mp3];
bikhir; fine; Adjective;;;;;;;; بخير; [sound:darija_707.mp3];
mSeTTe7; flat;Adjective;;;mSett7a;mSett7in;mSett7at;;; مسطّح; [sound:darija_806.mp3];
3aDim; great;Adjective;;;3aDima;3aDimin;3aDimat;;; عظيم; [sound:darija_810.mp3];
huwa; he; Pronoun;;;;;;;; هو; [sound:darija_812.mp3];
kifach ki; how; Adverb;;;;;;;;; [sound:darija_932.mp3];
ji3an; hungry;Adjective;;;ji3ana;ji3anin;ji3anat;;; جيعان; [sound:darija_817.mp3];
f; in; Preposition;;;;;;;; ف; [sound:darija_819.mp3];
3reD; to invite; Verb;;;;;;;; عرض; [sound:darija_820.mp3];
mcha f 7al(u); leave; Verb;;mchi f 7al(u);;;;;; مشى ف حالو; [sound:darija_822.mp3];
fate7; light;Adjective;;;fat7a;fat7in;fat7at;;; فاتح; [sound:darija_823.mp3];
3ach; to live; Verb;;3ich;;;;;; عاش; [sound:darija_826.mp3];
7ubb; love; Noun;;;;;;;; حب; [sound:darija_829.mp3];
bezzaf ch7al mn; many; Determiner;;;;;;;;; [sound:darija_934.mp3];
yemken; may; Modal Verb;;;;;;;; يامْكَنْ; [sound:darija_831.mp3];
kter; more; Adverb;;;;;;;; كتير; [sound:darija_832.mp3];
met7ef musée; museum; Noun;;;;;;;;; [sound:darija_935.mp3];
7taj; to need; Verb;;;;;;;; حتاج; [sound:darija_835.mp3];
jarida journal; newspaper; Noun;;;;;;;;; [sound:darija_936.mp3];
li jay jjay; next; Adjective;;;;;;;;; [sound:darija_937.mp3];
mezyan Driyef; nice kind; Adjective;;;;;;;;; [sound:darija_938.mp3];
ma - ch; not; Adverb;;;;;;;; ما - ش; [sound:darija_939.mp3];
dyal; of; Preposition;;;;;;;; ديال; [sound:darija_845.mp3];
9dim charef; old;Adjective;;;9dima charfa;9dam charfin;9damat charfat;;;; [sound:darija_940.mp3];
3la; on about; Preposition;;;;;;;; علا; [sound:darija_848.mp3];
ulla wlla; or; Conjunction;;;;;;;;; [sound:darija_941.mp3];
dyalna; our; Determiner;;;;;;;; ديالنا; [sound:darija_851.mp3];
berra lkharej; outside out; Preposition;;;;;;;;; [sound:darija_942.mp3];
khlleS; to pay; Verb;;;;;;;; خلّص; [sound:darija_854.mp3];
parka StaSiona; to park; Verb;;;;;;;;; [sound:darija_855.mp3];
9iT3a; part; Noun;9iTa3;;;;;;; قطعة; [sound:darija_943.mp3];
7efla; party; Noun;7afalat;;;;;;; حفلة; [sound:darija_858.mp3];
nas bachar; people; Noun;;;;;;;;; [sound:darija_859.mp3];
nebta; plant; Noun;nebtat;;;;;;; نبتة; [sound:darija_860.mp3];
su2al; question; Noun;as2ila;;;;;;; سؤال; [sound:darija_861.mp3];
sri3; quick;Adjective;;;sri3a;sra3;sri3at;;; سريع; [sound:darija_862.mp3];
amin; safe;Adjective;;;amina;aminin;aminat;;; آمن; [sound:darija_864.mp3];
mel7a; salt; Noun;;;;;;;; ملحة; [sound:darija_866.mp3];
sandwich; sandwich; Noun;sandwichat;;;;;;; ساندويتش; [sound:darija_867.mp3];
hiya; she; Pronoun;;;;;;;; هي; [sound:darija_869.mp3];
werra; to show; Verb;;werri;;;;;; ورّا; [sound:darija_870.mp3];
sme7 lia kan3tader; sorry I apologize; Adjective;;;;;;;;; [sound:darija_945.mp3];
w9ef 7bes; to stop; Verb;;;;;;;;; [sound:darija_946.mp3];
khda khad; to take; Verb;;yakhed;;;;;;; [sound:darija_880.mp3];
